city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
novikovo,48.36,51.15,37.89,47,40,16.62,RU,1587213832
chokurdakh,-12.5,70.63,147.92,86,0,5.75,RU,1587213832
faya,77.0,18.39,42.45,50,40,16.11,SA,1587213833
muroto,59.09,33.28,134.15,64,4,14.58,JP,1587213833
kintampo,90.34,8.06,-1.73,51,68,9.57,GH,1587213833
port macquarie,54.0,-31.43,152.92,93,46,4.63,AU,1587213833
kigorobya,68.11,1.62,31.31,69,100,5.91,UG,1587213833
concordia,57.2,-31.39,-58.02,87,0,7.85,AR,1587213834
buriti bravo,73.98,-5.84,-43.83,89,100,3.11,BR,1587213834
ponta do sol,64.0,32.67,-17.1,62,19,8.99,PT,1587213834
cidreira,66.63,-30.18,-50.21,79,12,1.72,BR,1587213834
saint-medard-en-jalles,75.99,44.9,-0.72,53,40,3.36,FR,1587213834
yulara,78.8,-25.24,130.99,29,20,6.93,AU,1587213834
praia,80.6,14.92,-23.51,42,20,24.16,CV,1587213835
kefamenanu,71.85,-9.45,124.48,81,59,1.01,ID,1587213835
marsh harbour,77.41,26.54,-77.06,82,22,14.03,BS,1587213835
san patricio,68.0,19.22,-104.7,82,5,5.82,MX,1587213835
fiche,68.52,9.8,38.73,22,99,3.83,ET,1587213835
inhambane,84.2,-23.86,35.38,62,40,5.82,MZ,1587213835
sokoto,103.64,13.06,5.24,9,12,7.87,NG,1587213835
ariquemes,70.32,-9.91,-63.04,70,45,6.06,BR,1587213615
preobrazheniye,42.35,42.9,133.91,62,77,4.29,RU,1587213836
aquiraz,80.6,-3.9,-38.39,78,40,5.82,BR,1587213836
north bend,51.01,43.41,-124.22,87,90,4.7,US,1587213836
ilulissat,24.8,69.22,-51.1,85,90,12.75,GL,1587213836
ketchikan,42.8,55.34,-131.65,93,1,6.93,US,1587213720
pocosol,70.0,10.37,-84.62,68,13,9.17,CR,1587213837
mujiayingzi,56.25,42.12,118.78,29,100,7.27,CN,1587213837
khanpur,94.33,28.65,70.66,19,23,7.87,PK,1587213837
lagunas,68.88,-5.23,-75.68,85,97,0.94,PE,1587213837
zhuhai,77.0,22.28,113.57,100,40,6.93,CN,1587213837
masindi,67.66,1.67,31.71,70,100,6.62,UG,1587213838
maningrida,80.33,-12.07,134.27,78,43,6.46,AU,1587213838
batagay-alyta,-5.62,67.8,130.41,73,0,6.17,RU,1587213838
sibolga,80.4,1.74,98.78,78,92,1.48,ID,1587213838
okha,19.62,53.57,142.95,92,65,3.69,RU,1587213686
banda aceh,81.82,5.56,95.32,78,46,4.61,ID,1587213838
samarai,80.08,-10.62,150.67,84,53,4.59,PG,1587213838
karaton,80.6,-6.34,106.1,78,40,6.93,ID,1587213839
ulladulla,57.2,-35.35,150.47,93,75,5.82,AU,1587213839
mayo,48.99,38.89,-76.51,87,90,4.7,US,1587213839
vardo,35.6,70.37,31.11,80,75,6.93,NO,1587213839
meulaboh,81.91,4.14,96.13,75,64,1.52,ID,1587213839
fort-shevchenko,56.97,44.51,50.26,61,92,11.48,KZ,1587213839
dunhua,46.54,43.37,128.24,54,22,1.54,CN,1587213840
saskylakh,8.74,71.92,114.08,86,0,3.69,RU,1587213840
kaitangata,51.01,-46.28,169.85,87,50,1.99,NZ,1587213840
saint-leu,81.0,-21.15,55.28,74,31,23.04,RE,1587213840
calabozo,82.15,8.92,-67.43,56,81,10.0,VE,1587213840
qasigiannguit,24.8,68.82,-51.19,85,90,12.75,GL,1587213840
zhezkazgan,77.0,47.8,67.71,21,75,13.42,KZ,1587213841
upanema,87.8,-5.64,-37.26,70,75,5.82,BR,1587213841
caravelas,76.73,-17.71,-39.25,86,84,20.98,BR,1587213841
mnogovershinnyy,16.81,53.94,139.92,94,81,0.58,RU,1587213841
skibbereen,48.2,51.55,-9.27,100,75,14.99,IE,1587213841
sao joao da barra,77.0,-21.64,-41.05,65,75,9.17,BR,1587213841
longyearbyen,33.8,78.22,15.64,64,75,3.36,SJ,1587213842
solwezi,78.22,-12.17,26.39,41,26,9.46,ZM,1587213842
tuni,87.28,17.35,82.55,58,31,10.13,IN,1587213604
deputatskiy,-14.31,69.3,139.9,80,0,0.4,RU,1587213842
fortuna,51.01,40.6,-124.16,93,90,2.89,US,1587213842
gedo,74.71,9.02,37.45,21,100,2.77,ET,1587213843
antalaha,82.78,-14.9,50.28,66,66,11.12,MG,1587213843
koutsouras,63.05,35.03,25.95,59,30,6.49,GR,1587213843
dunda,79.25,-8.12,34.25,48,92,7.61,TZ,1587213843
hay river,26.6,60.82,-115.8,79,75,6.93,CA,1587213727
estevan,37.4,49.13,-102.98,80,90,13.87,CA,1587213843
chany,58.64,55.31,76.76,54,93,14.58,RU,1587213843
hofn,43.68,64.25,-15.21,85,84,12.15,IS,1587213844
kavaratti,85.69,10.57,72.64,68,28,8.16,IN,1587213844
san severo,75.2,41.69,15.38,33,66,6.93,IT,1587213844
siocon,84.04,7.71,122.14,75,12,6.02,PH,1587213844
kasongo-lunda,72.77,-6.47,16.82,78,100,5.66,CD,1587213844
hami,73.89,42.8,93.45,15,48,4.36,CN,1587213845
abay,68.0,49.63,72.85,24,1,6.71,KZ,1587213845
neiafu,78.8,-18.65,-173.98,88,75,9.17,TO,1587213845
opuwo,84.85,-18.06,13.84,25,34,10.69,NA,1587213845
pakokku,97.29,21.33,95.1,18,29,2.42,MM,1587213846
selma,57.2,36.57,-119.61,100,100,0.69,US,1587213846
jacareacanga,73.98,-6.22,-57.75,93,99,1.77,BR,1587213846
palana,16.66,59.12,159.97,93,60,3.4,RU,1587213846
san juan,68.81,-31.54,-68.54,40,8,2.82,AR,1587213846
santa isabel do rio negro,74.57,-0.41,-65.02,92,95,2.84,BR,1587213846
salalah,86.0,17.02,54.09,66,20,12.75,OM,1587213846
hualmay,69.94,-11.1,-77.61,81,43,5.66,PE,1587213847
tual,84.4,-5.67,132.75,76,100,7.09,ID,1587213847
atambua,75.99,-9.11,124.89,80,59,1.68,ID,1587213847
vestmannaeyjar,44.6,63.44,-20.27,93,90,16.11,IS,1587213847
pisco,66.99,-13.7,-76.22,82,49,5.82,PE,1587213847
zeya,30.94,53.75,127.27,70,98,8.63,RU,1587213848
lubumbashi,77.13,-11.66,27.48,46,30,8.68,CD,1587213848
thessalon,33.8,46.25,-83.57,86,1,6.93,CA,1587213848
noyabrsk,42.31,63.2,75.45,94,100,18.16,RU,1587213848
los llanos de aridane,71.6,28.66,-17.92,56,20,19.46,ES,1587213848
aklavik,32.0,68.22,-135.01,98,90,3.36,CA,1587213727
alyangula,75.2,-13.85,136.42,94,32,8.68,AU,1587213849
ndele,104.5,8.41,20.65,18,77,3.09,CF,1587213849
qandala,86.04,11.47,49.87,68,39,11.36,SO,1587213849
inzer,44.53,54.22,57.56,54,95,12.46,RU,1587213849
orangeburg,68.0,33.49,-80.86,88,40,9.17,US,1587213850
san vicente,60.78,-26.62,-54.13,58,13,3.04,AR,1587213850
bud,35.6,39.45,-86.18,89,1,5.82,US,1587213850
champerico,75.2,14.3,-91.92,88,40,8.05,GT,1587213850
flinders,55.0,-34.58,150.86,82,36,2.37,AU,1587213850
straumen,42.01,63.87,11.3,80,75,10.29,NO,1587213851
san quintin,57.51,30.48,-115.95,75,50,9.98,MX,1587213851
tongliao,61.21,43.61,122.27,27,63,9.55,CN,1587213851
rocha,60.64,-34.48,-54.33,81,0,4.41,UY,1587213851
jurm,55.44,36.86,70.83,30,95,6.93,AF,1587213851
keuruu,44.01,62.27,24.7,41,40,17.22,FI,1587213851
matagami,24.8,49.75,-77.63,73,1,9.17,CA,1587213852
kamenka,45.0,51.32,42.77,79,68,7.0,RU,1587213852
vanavara,25.61,60.34,102.28,88,19,6.46,RU,1587213852
mahebourg,80.6,-20.41,57.7,74,75,16.11,MU,1587213852
aguie,103.03,13.51,7.78,5,87,10.54,NE,1587213852
sumkino,54.9,58.11,68.32,52,91,12.03,RU,1587213852
agadez,100.62,19.75,10.25,7,0,10.16,NE,1587213852
fairbanks,37.99,64.84,-147.72,100,90,3.36,US,1587213606
pasighat,77.58,28.07,95.33,55,77,4.09,IN,1587213853
ahuimanu,78.8,21.44,-157.84,54,20,6.93,US,1587213853
mogadishu,87.58,2.04,45.34,63,92,12.68,SO,1587213726
virginia beach,64.0,36.85,-75.98,77,90,16.11,US,1587213822
bataipora,64.58,-22.3,-53.27,66,91,7.61,BR,1587213853
jiaohe,52.21,43.73,127.34,46,42,2.66,CN,1587213853
torbay,37.99,47.67,-52.73,89,75,17.22,CA,1587213854
samfya,78.93,-11.36,29.56,42,69,9.64,ZM,1587213854
thinadhoo,84.49,0.53,72.93,76,99,13.8,MV,1587213854
sechura,71.62,-5.56,-80.82,83,20,9.44,PE,1587213854
chimbote,69.73,-9.09,-78.58,85,75,4.76,PE,1587213854
cayenne,77.0,4.93,-52.33,94,100,6.96,GF,1587213660
saint anthony,41.0,45.02,-93.22,60,1,11.41,US,1587213855
sisimiut,23.7,66.94,-53.67,94,100,9.46,GL,1587213855
bafra,60.8,41.57,35.91,63,0,6.93,TR,1587213855
pevek,-2.25,69.7,170.31,89,1,7.81,RU,1587213855
paris,75.0,48.85,2.35,43,6,8.05,FR,1587213729
sitka,39.2,57.05,-135.33,93,90,3.36,US,1587213856
iaciara,75.51,-14.1,-46.63,72,100,2.57,BR,1587213856
remanso,79.41,-9.62,-42.08,69,96,8.63,BR,1587213856
lompoc,54.0,34.64,-120.46,87,90,9.17,US,1587213856
sabzevar,69.28,36.21,57.68,23,95,4.52,IR,1587213857
ereymentau,65.71,51.62,73.1,25,52,11.39,KZ,1587213857
unai,72.61,-16.36,-46.91,74,99,6.15,BR,1587213857
brigantine,48.2,39.41,-74.36,81,90,3.36,US,1587213857
attendorn,64.38,51.13,7.9,63,92,6.17,DE,1587213592
namibe,77.0,-15.2,12.15,69,40,17.22,AO,1587213858
chia,51.8,4.86,-74.06,87,20,2.24,CO,1587213858
nanortalik,28.9,60.14,-45.24,90,84,7.47,GL,1587213858
altay,54.19,47.87,88.12,27,3,4.43,CN,1587213858
colares,70.0,38.8,-9.45,63,20,2.24,PT,1587213858
cururupu,77.7,-1.83,-44.87,91,100,3.38,BR,1587213859
dudinka,37.4,69.41,86.18,74,100,29.08,RU,1587213859
itaituba,75.99,-4.28,-55.98,92,98,2.73,BR,1587213859
berbera,87.26,10.44,45.01,67,69,16.64,SO,1587213859
san cristobal,77.0,7.77,-72.22,83,40,2.24,VE,1587213859
beloha,88.7,-25.17,45.05,32,0,9.53,MG,1587213859
aripuana,74.03,-9.17,-60.63,91,90,4.79,BR,1587213860
saldanha,89.6,-33.01,17.94,14,30,3.36,ZA,1587213860
antofagasta,62.6,-23.65,-70.4,82,90,3.36,CL,1587213860
andenes,39.2,69.31,16.12,100,100,12.75,NO,1587213860
kulhudhuffushi,86.67,6.62,73.07,71,91,11.9,MV,1587213860
dingle,82.33,11.0,122.67,74,1,8.99,PH,1587213861
payson,42.01,40.04,-111.73,69,40,5.82,US,1587213861
ekhabi,19.26,53.51,142.97,93,74,3.47,RU,1587213861
pascagoula,71.6,30.37,-88.56,94,75,5.82,US,1587213861
gomel,46.4,52.43,30.98,36,90,15.66,BY,1587213861
manggar,81.99,-2.88,108.27,80,95,8.34,ID,1587213861
nizhniy kuranakh,11.79,58.84,125.49,87,100,2.93,RU,1587213862
ornskoldsvik,48.2,63.29,18.72,36,0,12.75,SE,1587213862
dobre miasto,50.0,53.99,20.4,27,83,9.17,PL,1587213862
denia,63.0,38.84,0.11,90,100,3.0,ES,1587213565
umm kaddadah,97.59,13.6,26.69,7,28,9.17,SD,1587213862
narsaq,30.2,60.92,-46.05,50,40,2.24,GL,1587213862
iqaluit,0.0,63.75,-68.51,70,40,4.7,CA,1587213862
vila velha,77.0,-20.33,-40.29,69,92,17.22,BR,1587213863
khorixas,92.34,-20.37,14.97,17,12,13.35,NA,1587213863
kaeo,60.01,-35.1,173.78,94,20,5.01,NZ,1587213863
