city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
salalah,82.4,17.02,54.09,74,20,4.7,OM,1587074056
vostok,30.67,46.49,135.88,68,0,3.06,RU,1587074179
bam,60.28,29.11,58.36,48,84,7.63,IR,1587074179
sundumbili,64.4,-29.13,31.4,82,77,3.36,ZA,1587074180
lao cai,73.15,22.48,103.95,80,88,1.52,VN,1587074180
ishinomaki,42.8,38.42,141.3,70,20,3.36,JP,1587074180
ponta do sol,62.6,32.67,-17.1,67,20,3.36,PT,1587074180
walvis bay,57.0,-22.96,14.51,87,0,4.7,NA,1587073940
rahden,48.99,52.43,8.62,70,16,5.82,DE,1587074180
severo-kurilsk,30.85,50.68,156.12,95,100,12.84,RU,1587074180
north bend,73.99,43.41,-124.22,25,1,12.75,US,1587074181
brunsbuttel,46.4,53.9,9.15,81,99,6.93,DE,1587074181
vao,74.75,-22.67,167.48,65,35,11.59,NC,1587074082
umea,36.0,63.83,20.26,64,29,13.87,SE,1587074181
valenca do piaui,75.38,-6.41,-41.75,83,100,3.89,BR,1587074181
araguacu,74.59,-12.93,-49.83,85,91,3.29,BR,1587074181
avera,72.0,33.19,-82.53,28,1,3.36,US,1587074182
grindavik,42.8,63.84,-22.43,100,90,17.22,IS,1587074182
puerto quijarro,76.23,-17.78,-57.77,46,0,4.59,BO,1587074182
makakilo city,82.4,21.35,-158.09,61,40,12.75,US,1587074182
verkhnyaya toyma,32.9,62.23,45.0,95,100,13.47,RU,1587074182
klerksdorp,53.46,-26.85,26.67,24,0,6.13,ZA,1587074182
poronaysk,32.52,49.22,143.12,90,0,1.72,RU,1587074183
benghazi,60.19,32.12,20.07,71,0,17.78,LY,1587074183
porto nacional,84.2,-10.71,-48.42,66,20,3.36,BR,1587074183
kirakira,80.31,-10.45,161.92,81,100,8.03,SB,1587074183
souris,37.4,49.62,-100.26,40,75,18.34,CA,1587074183
eydhafushi,84.58,5.1,73.07,74,30,9.4,MV,1587074183
mao,60.8,39.89,4.27,93,70,5.82,ES,1587074184
port hedland,78.8,-20.32,118.57,88,99,8.05,AU,1587074184
anzoategui,82.4,4.63,-75.1,65,75,9.17,CO,1587074184
okhotsk,18.19,59.38,143.3,87,18,7.9,RU,1587074184
atikokan,35.26,48.76,-91.62,63,100,12.39,CA,1587074184
nantucket,46.99,41.28,-70.1,65,90,12.75,US,1587074145
lakhimpur,79.9,27.95,80.77,17,52,5.35,IN,1587074185
evensk,14.94,61.95,159.23,88,4,8.55,RU,1587074185
banjar,81.55,-8.19,114.97,76,99,2.64,ID,1587074185
karpathos,60.8,35.51,27.21,67,0,29.97,GR,1587074185
araouane,88.09,18.9,-3.53,19,9,8.84,ML,1587074185
demir kapija,39.0,41.41,22.25,89,0,1.9,MK,1587074186
victoria,73.4,22.29,114.16,83,40,9.17,HK,1587073888
san francisco,75.99,37.77,-122.42,67,75,16.11,US,1587074157
oistins,82.4,13.07,-59.53,65,40,17.22,BB,1587073935
poum,77.95,-20.23,164.02,80,10,12.17,NC,1587074186
